time,close,CVD (Apertura),CVD (Máximo,CVD (Mínimo),CVD (Cerrar),OnBalanceVolume,MFI,Signal,Histogram,MFI/Signal Crossover,MFI/Signal Crossunder,Plot,Plot,EMA of vfi,vfi
1772808250,671.42,-279600,-279600,-280969,-280696,-1984232,59.91469820860539,64.91485422715797,,,,0,,1.3848554466581995,1.3097506159160797
1772808260,671.22,-280696,-280696,-285456,-284422,-1991340,60.548681486289624,64.0416196789843,,,,0,,1.0844617515327268,0.4836743612817817
1772808270,671.14,-284422,-284342,-286582,-286582,-1996502,61.303997939105955,63.49409533100864,,,,0,,0.632397521194732,-0.27173093948125765
1772808280,671.19,-286582,-284711,-288813,-286007,-1988865,61.94145973698752,63.18356821220441,,,,0,,0.31763692016085615,-0.31188428190689566
1772808290,670.97,-286007,-284727,-288797,-287822,-2000916,55.1551700276317,61.57788857528987,,,,0,,-0.4663397828318743,-2.0342931888173355
1772808300,671.04,-287822,-287822,-291230,-288572,-1984488,49.54917620764849,59.17214610176159,,,,0,,-1.7444899438511987,-4.300790265889848
1772808310,671.44,-288572,-282103,-289022,-282230,-1975450,51.28454556370978,57.59462599415123,,,,0,,-2.1533408790574127,-2.9710427494698406
1772808320,671.6,-282230,-273324,-282230,-275941,-1962889,51.02960011364916,56.28162081805082,,,,0,,-1.8109703141466333,-1.1262291843250742
1772808330,671.24,-275941,-274202,-276373,-276018,-1967234,45.87288139769475,54.199872933979606,,,,0,,-1.7674004210886167,-1.6802606349725837
1772808340,671.07,-276018,-276018,-281027,-281027,-1972921,36.94516426548386,50.74893120028046,,,,0,,-1.99301252542478,-2.4442367340971063
1772808350,671.04,-281027,-280785,-283347,-283347,-1976303,32.854963571355896,47.17013767449555,,,,0,,-2.1386152411928636,-2.4298206727290306
1772808360,671.05,-283347,-282937,-284548,-284301,-1971447,36.74242000127417,45.084594139851276,,,,0,,-2.2348244157029384,-2.427242764723088
1772808370,671.08,-284301,-284301,-286550,-285911,-1964963,47.82646980778742,45.632969273438505,,47.82646980778742,,0,,-2.295518642577353,-2.416907096326182
1772808380,670.92,-285911,-285141,-289031,-286766,-1971888,38.94893726856158,44.29616287246312,,,38.94893726856158,0,,-2.62251794548092,-3.2765165512880543
1772808390,670.6,-286766,-286766,-291447,-291447,-1978723,37.40708821519615,42.91834794100973,,,,0,,-3.14320526412794,-4.184579901421981
1772808400,670.44,-291447,-291447,-299027,-299027,-1992221,35.33104384250953,41.40088712130969,,,,0,,-4.073307594220464,-5.933512254405512
